Z   A   EL  Binding Energy 
46  97  Pd  8502.4303
47  97  Ag  8423.2121
48  97  Cd  8310.3013
49  97  In  8165#
35  98  Br  8078#
36  98  Kr  8234#
37  98  Rb  8330.7294
38  98  Sr  8445.7385
39  98  Y   8497.6162
40  98  Zr  8581.3984
41  98  Nb  8596.3016
42  98  Mo  8635.1691
43  98  Tc  8610.0047
44  98  Ru  8620.314
45  98  Rh  8560.8038
46  98  Pd  8533.8999
47  98  Ag  8441.6866
48  98  Cd  8378.2953
49  98  In  8230#
36  99  Kr  8175#
37  99  Rb  8295.301
38  99  Sr  8402.5235
39  99  Y   8476.6938
40  99  Zr  8539.225
41  99  Nb  8578.9859
42  99  Mo  8607.7982
43  99  Tc  8613.6105
44  99  Ru  8608.7132
45  99  Rh  8580.1959
46  99  Pd  8537.9332
47  99  Ag  8474.7744
48  99  Cd  8398.3734
49  99  In  8304#
50  99  Sn  8161#
36  100 Kr  8134#
37  100 Rb  8244.5085
38  100 Sr  8372.2012
39  100 Y   8439.4151
40  100 Zr  8522.1066
41  100 Nb  8548.4683
42  100 Mo  8604.6626
43  100 Tc  8595.1184
44  100 Ru  8619.3593
45  100 Rh  8575.1732
46  100 Pd  8563.5652
47  100 Ag  8484.9947
48  100 Cd  8437.7375
49  100 In  8329.7495
50  100 Sn  8251.626
36  101 Kr  8075#
37  101 Rb  8206.1753
38  101 Sr  8324.7411
39  101 Y   8413.3305
40  101 Zr  8485.8439
41  101 Nb  8534.8355
42  101 Mo  8572.9159
43  101 Tc  8593.1366
44  101 Ru  8601.366
45  101 Rh  8588.2172
46  101 Pd  8560.8644
47  101 Ag  8512.5465
48  101 Cd  8450.3657
49  101 In  8370.426
50  101 Sn  8281.103
37  102 Rb  8152.7443
38  102 Sr  8291.2213
39  102 Y   8371.9172
40  102 Zr  8466.294
41  102 Nb  8504.8675
42  102 Mo  8568.3994
43  102 Tc  8570.6514
44  102 Ru  8607.4275
45  102 Rh  8576.9818
46  102 Pd  8580.2887
47  102 Ag  8517.165
48  102 Cd  8484.1322
49  102 In  8388.5719
50  102 Sn  8324.4313
51  102 Sb  8181#
37  103 Rb  8112#
38  103 Sr  8242#
39  103 Y   8342.6336
40  103 Zr  8425.8337
41  103 Nb  8488.332
42  103 Mo  8538.2672
43  103 Tc  8566.1045
44  103 Ru  8584.3656
45  103 Rh  8584.1927
46  103 Pd  8571.0173
47  103 Ag  8537.652
48  103 Cd  8489.7547
49  103 In  8423.7199
50  103 Sn  8343#
51  103 Sb  8234#
37  104 Rb  8057#
38  104 Sr  8206#
39  104 Y   8298#
40  104 Zr  8402.3159
41  104 Nb  8453.3832
42  104 Mo  8527.9063
43  104 Tc  8541.107
44  104 Ru  8587.3998
45  104 Rh  8568.9501
46  104 Pd  8584.8485
47  104 Ag  8536.185
48  104 Cd  8517.6232
49  104 In  8435.238
50  104 Sn  8383.9114
51  104 Sb  8258#
52  104 Te  8157.3256
38  105 Sr  8152#
39  105 Y   8262#
40  105 Zr  8358.598
41  105 Nb  8431.6925
42  105 Mo  8494.863
43  105 Tc  8534.6074
44  105 Ru  8561.9016
45  105 Rh  8572.7053
46  105 Pd  8570.6509
47  105 Ag  8550.3708
48  105 Cd  8516.8532
49  105 In  8464.7045
50  105 Sn  8397.229
51  105 Sb  8300.9923
52  105 Te  8186.8368
38  106 Sr  8114#
39  106 Y   8215#
40  106 Zr  8330#
41  106 Nb  8393.2657
42  106 Mo  8479.5202
43  106 Tc  8506.557
44  106 Ru  8560.9406
45  106 Rh  8553.9317
46  106 Pd  8579.9934
47  106 Ag  8544.6397
48  106 Cd  8539.0492
49  106 In  8470.1213
50  106 Sn  8432.0383
51  106 Sb  8322.0124
52  106 Te  8236.7682
53  106 I   8089#
38  107 Sr  8057#
39  107 Y   8178#
40  107 Zr  8284#
41  107 Nb  8367.0898
42  107 Mo  8442.219
43  107 Tc  8492.8979
44  107 Ru  8533.3676
45  107 Rh  8554.104
46  107 Pd  8560.8946
47  107 Ag  8553.9012
48  107 Cd  8533.3524
49  107 In  8494.0439
50  107 Sn  8439.4946
51  107 Sb  8358.7344
52  107 Te  8258#
53  107 I   8146#
39  108 Y   8129#
40  108 Zr  8253#
41  108 Nb  8325.6604
42  108 Mo  8422.1581
43  108 Tc  8462.8172
44  108 Ru  8527.2267
45  108 Rh  8532.6657
46  108 Pd  8567.0241
47  108 Ag  8542.0262
48  108 Cd  8550.0196
49  108 In  8495.2516
50  108 Sn  8469.0273
51  108 Sb  8372.6666
52  108 Te  8303.7221
53  108 I   8176#
54  108 Xe  8074.8886
39  109 Y   8089#
40  109 Zr  8204#
41  109 Nb  8297.1307
42  109 Mo  8381.4163
43  109 Tc  8444.1796
44  109 Ru  8496.228
45  109 Rh  8528.1404
46  109 Pd  8544.8825
47  109 Ag  8547.9155
48  109 Cd  8538.7646
49  109 In  8513.1027
50  109 Sn  8470.5183
51  109 Sb  8404.8161
52  109 Te  8319.3305
53  109 I   8220.0164
54  109 Xe  8107.3071
40  110 Zr  8171#
41  110 Nb  8255.2607
42  110 Mo  8359.293
43  110 Tc  8411.2603
44  110 Ru  8486.3123
45  110 Rh  8504.2551
46  110 Pd  8547.163
47  110 Ag  8532.1089
48  110 Cd  8551.2755
49  110 In  8508.9087
50  110 Sn  8496.0875
51  110 Sb  8412.6821
52  110 Te  8358.116
53  110 I   8244.0767
54  110 Xe  8159.2808
40  111 Zr  8118#
41  111 Nb  8223#
42  111 Mo  8315.2932
43  111 Tc  8390.0906
44  111 Ru  8452.9582
45  111 Rh  8495.6267
46  111 Pd  8521.7498
47  111 Ag  8534.7878
48  111 Cd  8537.0801
49  111 In  8522.2824
50  111 Sn  8493.131
51  111 Sb  8440.1203
52  111 Te  8367.7635
53  111 I   8282.9343
54  111 Xe  8182#
55  111 Cs  8070#
40  112 Zr  8081#
41  112 Nb  8178#
42  112 Mo  8291#
43  112 Tc  8353.6217
44  112 Ru  8439.2431
45  112 Rh  8468.8666
46  112 Pd  8520.7205
47  112 Ag  8516.0807
48  112 Cd  8544.7306
49  112 In  8514.6674
50  112 Sn  8513.6189
51  112 Sb  8443.633
52  112 Te  8400.6527
53  112 I   8299.8801
54  112 Xe  8230.0646
55  112 Cs  8102#
40  113 Zr  8027#
41  113 Nb  8143#
42  113 Mo  8246#
43  113 Tc  8329.4652
44  113 Ru  8402.6857
45  113 Rh  8456.8165
46  113 Pd  8492.5795
47  113 Ag  8516.066
48  113 Cd  8526.9874
49  113 In  8522.9297
50  113 Sn  8506.8117
51  113 Sb  8465.2762
52  113 Te  8404.6366
53  113 I   8333.7528
54  113 Xe  8247.9277
55  113 Cs  8148.623
56  113 Ba  8035#
41  114 Nb  8097#
42  114 Mo  8219#
43  114 Tc  8290.2599
44  114 Ru  8385.3351
45  114 Rh  8426.6221
46  114 Pd  8488.0056
47  114 Ag  8493.7786
48  114 Cd  8531.5135
49  114 In  8511.9742
50  114 Sn  8522.5671
51  114 Sb  8462.5191
52  114 Te  8432.7885
53  114 I   8344.779
54  114 Xe  8289.2054
55  114 Cs  8173.5711
56  114 Ba  8089.6865
41  115 Nb  8061#
42  115 Mo  8173#
43  115 Tc  8264#
44  115 Ru  8346.814
45  115 Rh  8410.6538
46  115 Pd  8457.7342
47  115 Ag  8490.5553
48  115 Cd  8510.7252
49  115 In  8516.5472
50  115 Sn  8514.0702
51  115 Sb  8480.9156
52  115 Te  8431.1504
53  115 I   8374.5651
54  115 Xe  8300.9704
55  115 Cs  8216#
56  115 Ba  8116#
41  116 Nb  8012#
42  116 Mo  8143#
43  116 Tc  8223#
44  116 Ru  8326.884
45  116 Rh  8377.6123
46  116 Pd  8449.2755
47  116 Ag  8465.9073
48  116 Cd  8512.3511
49  116 In  8501.6177
50  116 Sn  8523.1166
51  116 Sb  8475.8208
52  116 Te  8455.6435
53  116 I   8381.2858
54  116 Xe  8336.8365
55  116 Cs  8235#
56  116 Ba  8162#
57  116 La  8032#
42  117 Mo  8096#
43  117 Tc  8195#
44  117 Ru  8285.5625
45  117 Rh  8359.2766
46  117 Pd  8416.9243
47  117 Ag  8459.4515
48  117 Cd  8488.974
49  117 In  8503.8653
50  117 Sn  8509.612
51  117 Sb  8487.8981
52  117 Te  8450.9203
53  117 I   8404.4307
54  117 Xe  8344.2976
55  117 Cs  8271.8652
56  117 Ba  8187.9546
57  117 La  8086#
42  118 Mo  8067#
43  118 Tc  8153#
44  118 Ru  8263#
45  118 Rh  8322.8539
46  118 Pd  8405.2197
47  118 Ag  8433.89
48  118 Cd  8487.835
49  118 In  8485.667
50  118 Sn  8516.5341
51  118 Sb  8478.9156
52  118 Te  8469.697
53  118 I   8406.1203
54  118 Xe  8374.9819
55  118 Cs  8286.4053
56  118 Ba  8227#
57  118 La  8114#
42  119 Mo  8019#
43  119 Tc  8126#
44  119 Ru  8220#
45  119 Rh  8303.3953
46  119 Pd  8368.9594
47  119 Ag  8423.2126
48  119 Cd  8461.4381
49  119 In  8486.1387
50  119 Sn  8499.4494
51  119 Sb  8487.9218
52  119 Te  8462.0785
53  119 I   8426.8924
54  119 Xe  8378.442
55  119 Cs  8317.3347
56  119 Ba  8245.9287
57  119 La  8159#
58  119 Ce  8058#
43  120 Tc  8083#
44  120 Ru  8199#
45  120 Rh  8266#
46  120 Pd  8357.0817
47  120 Ag  8395.3281
48  120 Cd  8458.024
49  120 In  8466.2575
50  120 Sn  8504.488
51  120 Sb  8475.63
52  120 Te  8476.9857
53  120 I   8423.6745
54  120 Xe  8404.0322
55  120 Cs  8328.4811
56  120 Ba  8280.2949
57  120 La  8179#
58  120 Ce  8108#
43  121 Tc  8054#
44  121 Ru  8156#
45  121 Rh  8245.2397
46  121 Pd  8320.8584
47  121 Ag  8382.3306
48  121 Cd  8430.9972
49  121 In  8463.8767
50  121 Sn  8485.1964
51  121 Sb  8482.0574
52  121 Te  8466.8641
53  121 I   8441.4111
54  121 Xe  8403.8326
55  121 Cs  8352.9152
56  121 Ba  8293.9083
57  121 La  8217#
58  121 Ce  8132#
59  121 Pr  8033#
43  122 Tc  8011#
44  122 Ru  8132#
45  122 Rh  8208#
46  122 Pd  8305.9755
47  122 Ag  8352.7591
48  122 Cd  8424.2667
49  122 In  8442.1079
50  122 Sn  8487.8968
51  122 Sb  8468.3222
52  122 Te  8478.1315
53  122 I   8437.0139
54  122 Xe  8424.6644
55  122 Cs  8359.1515
56  122 Ba  8323.7567
57  122 La  8235#
58  122 Ce  8174#
59  122 Pr  8060#
44  123 Ru  8089#
45  123 Rh  8185#
46  123 Pd  8270.0318
47  123 Ag  8337.9707
48  123 Cd  8395.3955
49  123 In  8437.9362
50  123 Sn  8467.2313
51  123 Sb  8472.3196
52  123 Te  8465.537
53  123 I   8449.1896
54  123 Xe  8420.9239
55  123 Cs  8380.3796
56  123 Ba  8330.2086
57  123 La  8267#
58  123 Ce  8193#
59  123 Pr  8104#
44  124 Ru  8065#
45  124 Rh  8148#
46  124 Pd  8252#
47  124 Ag  8308.8958
48  124 Cd  8387.0179
49  124 In  8414.3243
50  124 Sn  8467.3997
51  124 Sb  8456.1517
52  124 Te  8473.2705
53  124 I   8441.4807
54  124 Xe  8437.6138
55  124 Cs  8383.5114
56  124 Ba  8355.8209
57  124 La  8278.2926
58  124 Ce  8229#
59  124 Pr  8128#
60  124 Nd  8054#
44  125 Ru  8023#
45  125 Rh  8124#
46  125 Pd  8215#
47  125 Ag  8293.3151
48  125 Cd  8357.6815
49  125 In  8407.9365
50  125 Sn  8445.5285
51  125 Sb  8458.1612
52  125 Te  8458.0361
53  125 I   8450.2911
54  125 Xe  8430.939
55  125 Cs  8399.8033
56  125 Ba  8358.1784
57  125 La  8304.6438
58  125 Ce  8242#
59  125 Pr  8167#
60  125 Nd  8080#
45  126 Rh  8087#
46  126 Pd  8197#
47  126 Ag  8261#
48  126 Cd  8346.7393
49  126 In  8384.6067
50  126 Sn  8443.5227
51  126 Sb  8440.3136
52  126 Te  8463.2397
53  126 I   8439.9379
54  126 Xe  8443.5375
55  126 Cs  8399.2673
56  126 Ba  8379.7187
57  126 La  8312.4268
58  126 Ce  8273.2581
59  126 Pr  8184#
60  126 Nd  8122#
61  126 Pm  8008#
45  127 Rh  8060#
46  127 Pd  8160#
47  127 Ag  8244#
48  127 Cd  8316.8971
49  127 In  8374.8212
50  127 Sn  8420.5482
51  127 Sb  8439.811
52  127 Te  8446.109
53  127 I   8445.482
54  127 Xe  8434.1066
55  127 Cs  8411.5617
56  127 Ba  8378.456
57  127 La  8333.5412
58  127 Ce  8280.7922
59  127 Pr  8216#
60  127 Nd  8142#
61  127 Pm  8052#
45  128 Rh  8010#
46  128 Pd  8137#
47  128 Ag  8211#
48  128 Cd  8303.2367
49  128 In  8351.4361
50  128 Sn  8416.9749
51  128 Sb  8420.7724
52  128 Te  8448.7536
53  128 I   8432.8309
54  128 Xe  8443.3008
55  128 Cs  8406.4953
56  128 Ba  8395.9878
57  128 La  8337.1904
58  128 Ce  8306.9259
59  128 Pr  8228.9141
60  128 Nd  8177#
61  128 Pm  8075#
62  128 Sm  7998#
46  129 Pd  8086#
47  129 Ag  8188#
48  129 Cd  8269.5311
49  129 In  8338.759
50  129 Sn  8392.8161
51  129 Sb  8418.0598
52  129 Te  8430.4098
53  129 I   8435.9908
54  129 Xe  8431.3904
55  129 Cs  8416.0465
56  129 Ba  8391.0811
57  129 La  8356.0449
58  129 Ce  8310.9411
59  129 Pr  8254.3808
60  129 Nd  8191#
61  129 Pm  8114#
62  129 Sm  8023#
46  130 Pd  8046#
47  130 Ag  8142#
48  130 Cd  8252.5868
49  130 In  8314.176
50  130 Sn  8386.817
51  130 Sb  8397.3641
52  130 Te  8430.3251
53  130 I   8421.1011
54  130 Xe  8437.7314
55  130 Cs  8408.7848
56  130 Ba  8405.513
57  130 La  8356.1919
58  130 Ce  8333.2164
59  130 Pr  8263.7565
60  130 Nd  8222.5136
61  130 Pm  8131#
62  130 Sm  8065#
63  130 Eu  7950#
46  131 Pd  7993#
47  131 Ag  8102#
48  131 Cd  8206.1204
49  131 In  8297.9544
50  131 Sn  8362.5183
51  131 Sb  8392.5525
52  131 Te  8411.2339
53  131 I   8422.2977
54  131 Xe  8423.7367
55  131 Cs  8415.0317
56  131 Ba  8398.5511
57  131 La  8370.3676
58  131 Ce  8333.3969
59  131 Pr  8286.1439
60  131 Nd  8230.3045
61  131 Pm  8163#
62  131 Sm  8085#
63  131 Eu  7996#
47  132 Ag  8053#
48  132 Cd  8169.1421
49  132 In  8253.7162
50  132 Sn  8354.8726
51  132 Sb  8372.3452
52  132 Te  8408.4859
53  132 I   8406.4628
54  132 Xe  8427.6229
55  132 Cs  8405.5878
56  132 Ba  8409.3747
57  132 La  8367.7559
58  132 Ce  8352.3223
59  132 Pr  8291.5377
60  132 Nd  8256.8104
61  132 Pm  8177#
62  132 Sm  8122#
63  132 Eu  8018#
47  133 Ag  8013#
48  133 Cd  8121#
49  133 In  8217#
50  133 Sn  8310.089
51  133 Sb  8364.7302
52  133 Te  8389.0255
53  133 I   8405.0993
54  133 Xe  8412.6477
55  133 Cs  8409.9786
56  133 Ba  8400.2059
57  133 La  8378.8415
58  133 Ce  8349.8301
59  133 Pr  8310.2588
60  133 Nd  8262.232
61  133 Pm  8204.2841
62  133 Sm  8137#
63  133 Eu  8056#
64  133 Gd  7966#
48  134 Cd  8086#
49  134 In  8173#
50  134 Sn  8275.1719
51  134 Sb  8325.9398
52  134 Te  8383.6442
53  134 I   8389.0722
54  134 Xe  8413.6994
55  134 Cs  8398.647
56  134 Ba  8408.1731
57  134 La  8374.4888
58  134 Ce  8365.7716
59  134 Pr  8312.8817
60  134 Nd  8285.5391
61  134 Pm  8213.4131
62  134 Sm  8167#
63  134 Eu  8075#
64  134 Gd  8008#
48  135 Cd  8036#
49  135 In  8136#
50  135 Sn  8230.6877
51  135 Sb  8291.9894
52  135 Te  8345.7384
53  135 I   8384.7609
54  135 Xe  8398.4783
55  135 Cs  8401.3393
56  135 Ba  8397.5345
57  135 La  8382.7972
58  135 Ce  8361.9861
59  135 Pr  8328.9284
60  135 Nd  8288.1536
61  135 Pm  8236.7933
62  135 Sm  8177.627
63  135 Eu  8107#
64  135 Gd  8028#
65  135 Tb  7939#
49  136 In  8091#
50  136 Sn  8197#
51  136 Sb  8252.2533
52  136 Te  8319.4301
53  136 I   8351.3242
54  136 Xe  8396.1889
55  136 Cs  8389.7723
56  136 Ba  8402.7566
57  136 La  8376.0512
58  136 Ce  8373.7624
59  136 Pr  8330.0089
60  136 Nd  8308.5127
61  136 Pm  8243.7207
62  136 Sm  8205.9165
63  136 Eu  8122#
64  136 Gd  8064#
65  136 Tb  7961#
49  137 In  8053#
50  137 Sn  8152#
51  137 Sb  8218.4764
52  137 Te  8280.2357
53  137 I   8326.0033
54  137 Xe  8364.2865
55  137 Cs  8388.9581
56  137 Ba  8391.8288
57  137 La  8381.8807
58  137 Ce  8367.2497
59  137 Pr  8341.7074
60  137 Nd  8309.5892
61  137 Pm  8263.6516
62  137 Sm  8213.5527
63  137 Eu  8150.5738
64  137 Gd  8080#
65  137 Tb  7999#
50  138 Sn  8118#
51  138 Sb  8178#
52  138 Te  8252.5786
53  138 I   8292.445
54  138 Xe  8344.6913
55  138 Cs  8360.1437
56  138 Ba  8393.4222
57  138 La  8375.0835
58  138 Ce  8377.0408
59  138 Pr  8339.2195
60  138 Nd  8325.4946
61  138 Pm  8268.3558
62  138 Sm  8237.9286
63  138 Eu  8161.6211
64  138 Gd  8112#
65  138 Tb  8019#
66  138 Dy  7950#
50  139 Sn  8073#
51  139 Sb  8144#
52  139 Te  8211.7716
53  139 I   8265.61
54  139 Xe  8311.5904
55  139 Cs  8342.3397
56  139 Ba  8367.0194
57  139 La  8377.9987
58  139 Ce  8370.4664
59  139 Pr  8349.5208
60  139 Nd  8323.6642
61  139 Pm  8285.5473
62  139 Sm  8243.0786
63  139 Eu  8187.2187
64  139 Gd  8126#
65  139 Tb  8052#
66  139 Dy  7971#
50  140 Sn  8038#
51  140 Sb  8103#
52  140 Te  8183.3567
53  140 I   8229.474
54  140 Xe  8290.8875
55  140 Cs  8314.3227
56  140 Ba  8353.15
57  140 La  8355.0201
58  140 Ce  8376.3045
59  140 Pr  8346.5163
60  140 Nd  8337.864
61  140 Pm  8289.0958
62  140 Sm  8263.8211
63  140 Eu  8197.733
64  140 Gd  8154.9757
65  140 Tb  8068.6732
66  140 Dy  8008#
67  140 Ho  7906#
51  141 Sb  8069#
52  141 Te  8142#
53  141 I   8202.2562
54  141 Xe  8255.3647
55  141 Cs  8294.3554
56  141 Ba  8326.0774
57  141 La  8343.205
58  141 Ce  8355.3956
59  141 Pr  8353.9852
60  141 Nd  8335.5074
61  141 Pm  8303.9405
62  141 Sm  8265.846
63  141 Eu  8217.6853
64  141 Gd  8164.609
65  141 Tb  8097.4761
66  141 Dy  8027#
67  141 Ho  7943#
51  142 Sb  8027#
52  142 Te  8113#
53  142 I   8165.2517
54  142 Xe  8233.1695
55  142 Cs  8264.8777
56  142 Ba  8310.9718
57  142 La  8320.8263
58  142 Ce  8347.07
59  142 Pr  8336.3032
60  142 Nd  8346.031
61  142 Pm  8306.6587
62  142 Sm  8285.9407
63  142 Eu  8226.396
64  142 Gd  8190.2569
65  142 Tb  8111.508
66  142 Dy  8061#
67  142 Ho  7965#
68  142 Er  7893#
52  143 Te  8070#
53  143 I   8137#
54  143 Xe  8196.8855
55  143 Cs  8243.6707
56  143 Ba  8281.9878
57  143 La  8306.1271
58  143 Ce  8324.6765
59  143 Pr  8329.428
60  143 Nd  8330.4893
61  143 Pm  8317.7341
62  143 Sm  8288.1825
63  143 Eu  8245.8177
64  143 Gd  8198.3188
65  143 Tb  8138.2176
66  143 Dy  8075.0527
67  143 Ho  7999#
68  143 Er  7917#
52  144 Te  8040#
53  144 I   8098#
54  144 Xe  8172.8845
55  144 Cs  8211.8894
56  144 Ba  8265.4549
57  144 La  8281.4283
58  144 Ce  8314.7612
59  144 Pr  8311.5411
60  144 Nd  8326.9237
61  144 Pm  8305.2969
62  144 Sm  8303.68
63  144 Eu  8254.1744
64  144 Gd  8221.9382
65  144 Tb  8151.2877
66  144 Dy  8105.5902
67  144 Ho  8017.0977
68  144 Er  7956#
69  144 Tm  7850#
52  145 Te  7998#
53  145 I   8069#
54  145 Xe  8135.0877
55  145 Cs  8188.7342
56  145 Ba  8234.7991
57  145 La  8266.0873
58  145 Ce  8289.8762
59  145 Pr  8302.1285
60  145 Nd  8309.1883
61  145 Pm  8302.6583
62  145 Sm  8293.0139
63  145 Eu  8269.2744
64  145 Gd  8228.9485
65  145 Tb  8178.5397
66  145 Dy  8116.8884
67  145 Ho  8048.5792
68  145 Er  7975#
69  145 Tm  7889#
53  146 I   8031#
54  146 Xe  8110.4154
55  146 Cs  8155.4365
56  146 Ba  8215.5293
57  146 La  8239.9988
58  146 Ce  8278.5081
59  146 Pr  8280.325
60  146 Nd  8304.0927
61  146 Pm  8288.655
62  146 Sm  8293.8581
63  146 Eu  8261.9327
64  146 Gd  8249.5072
65  146 Tb  8187.1474
66  146 Dy  8146.1128
67  146 Ho  8063.2426
68  146 Er  8010.5127
69  146 Tm  7914#
53  147 I   8001#
54  147 Xe  8072#
55  147 Cs  8131.801
56  147 Ba  8183.2405
57  147 La  8221.5536
58  147 Ce  8252.5274
59  147 Pr  8270.54
60  147 Nd  8283.6036
61  147 Pm  8284.3712
62  147 Sm  8280.5734
63  147 Eu  8263.5409
64  147 Gd  8243.3366
65  147 Tb  8206.625
66  147 Dy  8156.768
67  147 Ho  8094.0381
68  147 Er  8026.476
69  147 Tm  7948.8178
54  148 Xe  8047#
55  148 Cs  8097.5469
56  148 Ba  8164.1118
57  148 La  8193.7165
58  148 Ce  8240.3876
59  148 Pr  8249.5409
60  148 Nd  8277.1778
61  148 Pm  8268.2283
62  148 Sm  8279.6326
63  148 Eu  8253.8155
64  148 Gd  8248.3398
65  148 Tb  8204.3207
66  148 Dy  8180.943
67  148 Ho  8108.9797
68  148 Er  8059.6924
69  148 Tm  7968.5011
70  148 Yb  7906#
54  149 Xe  8009#
55  149 Cs  8073#
56  149 Ba  8131.8495
57  149 La  8176.1915
58  149 Ce  8214.2294
59  149 Pr  8238.304
60  149 Nd  8255.4437
61  149 Pm  8261.5277
62  149 Sm  8263.4683
63  149 Eu  8253.556
64  149 Gd  8239.4856
65  149 Tb  8209.8153
66  149 Dy  8179.0972
67  149 Ho  8133.255
68  149 Er  8074.9558
69  149 Tm  8004#
70  149 Yb  7927#
54  150 Xe  7983#
55  150 Cs  8039#
56  150 Ba  8111.8405
57  150 La  8149.4339
58  150 Ce  8201.123
59  150 Pr  8218.9316
60  150 Nd  8249.5789
61  150 Pm  8243.8125
62  150 Sm  8261.6235
63  150 Eu  8241.3481
64  150 Gd  8242.6103
65  150 Tb  8206.3396
66  150 Dy  8189.1495
67  150 Ho  8134.8423
68  150 Er  8102.1962
69  150 Tm  8021#
70  150 Yb  7965#
71  150 Lu  7866#
55  151 Cs  8013#
56  151 Ba  8079#
57  151 La  8129.0436
58  151 Ce  8176.2779
59  151 Pr  8207.8824
60  151 Nd  8230.2741
61  151 Pm  8241.2723
62  151 Sm  8243.9735
63  151 Eu  8239.2998
64  151 Gd  8231.0446
65  151 Tb  8208.8743
66  151 Dy  8184.6789
67  151 Ho  8145.5267
68  151 Er  8104.8723
69  151 Tm  8050.0576
70  151 Yb  7983.7556
71  151 Lu  7904#
55  152 Cs  7980#
56  152 Ba  8057#
57  152 La  8102#
58  152 Ce  8161#
59  152 Pr  8187.1049
60  152 Nd  8224.0078
61  152 Pm  8226.1293
62  152 Sm  8244.0645
63  152 Eu  8226.5854
64  152 Gd  8233.4042
65  152 Tb  8202.0072
66  152 Dy  8192.9171
67  152 Ho  8144.9193
68  152 Er  8119.3485
69  152 Tm  8056.4387
70  152 Yb  8015.4371
71  152 Lu  7926#
56  153 Ba  8023#
57  153 La  8081#
58  153 Ce  8134#
59  153 Pr  8172.0371
60  153 Nd  8204.5832
61  153 Pm  8221.1536
62  153 Sm  8228.5373
63  153 Eu  8228.7011
64  153 Gd  8220.4209
65  153 Tb  8205.0504
66  153 Dy  8185.7514
67  153 Ho  8153.6372
68  153 Er  8118.8154
69  153 Tm  8071.2571
70  153 Yb  8022#
71  153 Lu  7959.0882
72  153 Hf  7882#
56  154 Ba  8001#
57  154 La  8051#
58  154 Ce  8116#
59  154 Pr  8147.2994
60  154 Nd  8192.3491
61  154 Pm  8204.717
62  154 Sm  8226.8379
63  154 Eu  8217.1006
64  154 Gd  8224.7996
65  154 Tb  8196.6697
66  154 Dy  8193.1305
67  154 Ho  8150.6825
68  154 Er  8132.3919
69  154 Tm  8074.209
70  154 Yb  8039.9402
71  154 Lu  7968#
72  154 Hf  7918#
57  155 La  8028#
58  155 Ce  8087#
59  155 Pr  8131.0398
60  155 Nd  8170.305
61  155 Pm  8195.2977
62  155 Sm  8211.2258
63  155 Eu  8216.676
64  155 Gd  8213.2541
65  155 Tb  8202.9173
66  155 Dy  8184.357
67  155 Ho  8159.2055
68  155 Er  8129.4444
69  155 Tm  8088.376
70  155 Yb  8043.8234
71  155 Lu  7987.4369
72  155 Hf  7929#
73  155 Ta  7858#
57  156 La  7997#
58  156 Ce  8068#
59  156 Pr  8105.2337
60  156 Nd  8156.3265
61  156 Pm  8176.7263
62  156 Sm  8205.0054
63  156 Eu  8204.6192
64  156 Gd  8215.3253
65  156 Tb  8194.6415
66  156 Dy  8192.4366
67  156 Ho  8155.428
68  156 Er  8141.9084
69  156 Tm  8089.6032
70  156 Yb  8061.7107
71  156 Lu  7995.3752
72  156 Hf  7952.6676
73  156 Ta  7872#
57  157 La  7972#
58  157 Ce  8037#
59  157 Pr  8085.817
60  157 Nd  8132.1671
61  157 Pm  8164.1458
62  157 Sm  8187.0642
63  157 Eu  8199.7975
64  157 Gd  8203.5072
65  157 Tb  8198.1416
66  157 Dy  8184.6287
67  157 Ho  8163.1373
68  157 Er  8136.3757
69  157 Tm  8101.4285
70  157 Yb  8062.7551
71  157 Lu  8013.3128
72  157 Hf  7960#
73  157 Ta  7896.0608
74  157 W   7828#
58  158 Ce  8015#
59  158 Pr  8059#
60  158 Nd  8114.9529
61  158 Pm  8143.3622
62  158 Sm  8177.3075
63  158 Eu  8185.132
64  158 Gd  8201.8229
65  158 Tb  8189.1556
66  158 Dy  8190.1298
67  158 Ho  8158.4709
68  158 Er  8147.927
69  158 Tm  8101.1994
70  158 Yb  8079.1999
71  158 Lu  8018.5685
72  158 Hf  7981.2764
73  158 Ta  7907#
74  158 W   7855#
58  159 Ce  7983#
59  159 Pr  8037#
60  159 Nd  8088.8224
61  159 Pm  8126.8601
62  159 Sm  8157.4963
63  159 Eu  8176.6987
64  159 Gd  8187.6177
65  159 Tb  8188.8025
66  159 Dy  8181.5842
67  159 Ho  8165.1066
68  159 Er  8142.7742
69  159 Tm  8112.7549
70  159 Yb  8078.0428
71  159 Lu  8034.6009
72  159 Hf  7986.561
73  159 Ta  7928.7258
74  159 W   7867#
75  159 Re  7795#
59  160 Pr  8009#
60  160 Nd  8069.9662
61  160 Pm  8103.6398
62  160 Sm  8144.6159
63  160 Eu  8160.103
64  160 Gd  8183.0171
65  160 Tb  8177.4676
66  160 Dy  8184.0526
67  160 Ho  8158.6004
68  160 Er  8151.7217
69  160 Tm  8110.8124
70  160 Yb  8092.5614
71  160 Lu  8038.3387
72  160 Hf  8006.3791
73  160 Ta  7938.2704
74  160 W   7892.7893
75  160 Re  7810#
59  161 Pr  7986#
60  161 Nd  8042#
61  161 Pm  8085.9977
62  161 Sm  8122.0418
63  161 Eu  8148.981
64  161 Gd  8167.1934
65  161 Tb  8174.4809
66  161 Dy  8173.3093
