Z   A   EL  Binding Energy 
14  36  Si  8112.5199
15  36  P   8307.8692
16  36  S   8575.39
17  36  Cl  8521.9322
18  36  Ar  8519.9096
19  36  K   8142.2233
20  36  Ca  7815.8799
21  36  Sc  7166#
11  37  Na  6403#
12  37  Mg  7055.1115
13  37  Al  7531.316
14  37  Si  7952.9033
15  37  P   8267.5561
16  37  S   8459.9363
17  37  Cl  8570.2816
18  37  Ar  8527.1406
19  37  K   8339.848
20  37  Ca  8003.4567
21  37  Sc  7525#
22  37  Ti  6926#
11  38  Na  6216#
12  38  Mg  6928#
13  38  Al  7370#
14  38  Si  7892.8297
15  38  P   8147.2749
16  38  S   8448.7829
17  38  Cl  8505.4817
18  38  Ar  8614.2807
19  38  K   8438.0593
20  38  Ca  8240.0434
21  38  Sc  7751#
22  38  Ti  7319#
11  39  Na  6056#
12  39  Mg  6734#
13  39  Al  7260#
14  39  Si  7730.9793
15  39  P   8097.9701
16  39  S   8344.2698
17  39  Cl  8494.4032
18  39  Ar  8562.5988
19  39  K   8557.0258
20  39  Ca  8369.6711
21  39  Sc  8013.4575
22  39  Ti  7566#
23  39  V   7031#
12  40  Mg  6598#
13  40  Al  7097#
14  40  Si  7655.8247
15  40  P   7981.4177
16  40  S   8329.3255
17  40  Cl  8427.766
18  40  Ar  8595.2594
19  40  K   8538.0907
20  40  Ca  8551.3046
21  40  Sc  8173.6697
22  40  Ti  7865.8632
23  40  V   7310#
12  41  Mg  6425#
13  41  Al  6980#
14  41  Si  7482#
15  41  P   7906.5513
16  41  S   8229.6358
17  41  Cl  8412.9593
18  41  Ar  8534.3733
19  41  K   8576.0731
20  41  Ca  8546.7075
21  41  Sc  8369.1979
22  41  Ti  8034.3889
23  41  V   7625#
24  41  Cr  7116#
13  42  Al  6829#
14  42  Si  7410#
15  42  P   7765.9122
16  42  S   8193.2275
17  42  Cl  8345.8864
18  42  Ar  8555.6141
19  42  K   8551.2571
20  42  Ca  8616.5646
21  42  Sc  8444.9303
22  42  Ti  8259.24
23  42  V   7824#
24  42  Cr  7456#
13  43  Al  6712#
14  43  Si  7251#
15  43  P   7681#
16  43  S   8063.8276
17  43  Cl  8323.8672
18  43  Ar  8488.2382
19  43  K   8576.2204
20  43  Ca  8600.6653
21  43  Sc  8530.8265
22  43  Ti  8352.8054
23  43  V   8069.5129
24  43  Cr  7680#
25  43  Mn  7213#
14  44  Si  7156#
15  44  P   7552#
16  44  S   7996.0154
17  44  Cl  8234.4788
18  44  Ar  8493.8411
19  44  K   8546.7023
20  44  Ca  8658.1769
21  44  Sc  8557.3805
22  44  Ti  8533.5215
23  44  V   8203.4567
24  44  Cr  7949.6265
25  44  Mn  7457#
14  45  Si  7004#
15  45  P   7456#
16  45  S   7867#
17  45  Cl  8181.5991
18  45  Ar  8419.9526
19  45  K   8554.6747
20  45  Ca  8630.5467
21  45  Sc  8618.941
22  45  Ti  8555.7321
23  45  V   8380.0394
24  45  Cr  8087.7286
25  45  Mn  7747#
26  45  Fe  7299#
15  46  P   7320#
16  46  S   7785#
17  46  Cl  8080.7757
18  46  Ar  8412.3835
19  46  K   8518.0428
20  46  Ca  8668.9848
21  46  Sc  8622.0215
22  46  Ti  8656.4623
23  46  V   8486.1423
24  46  Cr  8303.8233
25  46  Mn  7916.0805
26  46  Fe  7603#
15  47  P   7209#
16  47  S   7652#
17  47  Cl  7992#
18  47  Ar  8311.425
19  47  K   8514.8795
20  47  Ca  8639.3548
21  47  Sc  8665.0958
22  47  Ti  8661.2325
23  47  V   8582.2348
24  47  Cr  8407.2067
25  47  Mn  8135.3117
26  47  Fe  7790#
27  47  Co  7396#
16  48  S   7552#
17  48  Cl  7883#
18  48  Ar  8243.6656
19  48  K   8434.2324
20  48  Ca  8666.6916
21  48  Sc  8656.2097
22  48  Ti  8723.0122
23  48  V   8623.0686
24  48  Cr  8572.2553
25  48  Mn  8274.1924
26  48  Fe  8022.7254
27  48  Co  7595#
28  48  Ni  7236#
16  49  S   7400#
17  49  Cl  7785#
18  49  Ar  8132#
19  49  K   8372.2753
20  49  Ca  8594.85
21  49  Sc  8686.2805
22  49  Ti  8711.1625
23  49  V   8682.9135
24  49  Cr  8613.2777
25  49  Mn  8439.915
26  49  Fe  8161.3121
27  49  Co  7840#
28  49  Ni  7450#
17  50  Cl  7651#
18  50  Ar  8054#
19  50  K   8288.5833
20  50  Ca  8550.1639
21  50  Sc  8633.4747
22  50  Ti  8755.7227
23  50  V   8695.9032
24  50  Cr  8701.0188
25  50  Mn  8532.6823
26  50  Fe  8354.0268
27  50  Co  8000.6387
28  50  Ni  7702#
17  51  Cl  7530#
18  51  Ar  7922#
19  51  K   8221.335
20  51  Ca  8476.9135
21  51  Sc  8597.2213
22  51  Ti  8708.9912
23  51  V   8742.0852
24  51  Cr  8711.9923
25  51  Mn  8633.7602
26  51  Fe  8460.4977
27  51  Co  8193.2549
28  51  Ni  7870#
17  52  Cl  7386#
18  52  Ar  7827#
19  52  K   8115.0303
20  52  Ca  8429.3821
21  52  Sc  8534.6695
22  52  Ti  8691.8193
23  52  V   8714.569
24  52  Cr  8775.9946
25  52  Mn  8670.4087
26  52  Fe  8609.6079
27  52  Co  8325.5606
28  52  Ni  8083.8977
29  52  Cu  7671#
18  53  Ar  7677#
19  53  K   8022.8488
20  53  Ca  8330.5778
21  53  Sc  8492.8325
22  53  Ti  8631.1256
23  53  V   8710.1425
24  53  Cr  8760.2103
25  53  Mn  8734.1798
26  53  Fe  8648.7985
27  53  Co  8477.6578
28  53  Ni  8217.0749
29  53  Cu  7891#
18  54  Ar  7578#
19  54  K   7891#
20  54  Ca  8247.4967
21  54  Sc  8404.8115
22  54  Ti  8599.6917
23  54  V   8662.1382
24  54  Cr  8777.9672
25  54  Mn  8737.9768
26  54  Fe  8736.3846
27  54  Co  8569.2199
28  54  Ni  8393.0328
29  54  Cu  8045#
30  54  Zn  7742#
19  55  K   7792#
20  55  Ca  8125.926
21  55  Sc  8333.3694
22  55  Ti  8518.9696
23  55  V   8637.3391
24  55  Cr  8731.9362
25  55  Mn  8765.0247
26  55  Fe  8746.5981
27  55  Co  8669.6204
28  55  Ni  8497.3225
29  55  Cu  8233.997
30  55  Zn  7904#
19  56  K   7663#
20  56  Ca  8033.1654
21  56  Sc  8233.5781
22  56  Ti  8467.9495
23  56  V   8574.7006
24  56  Cr  8723.2609
25  56  Mn  8738.3358
26  56  Fe  8790.3563
27  56  Co  8694.8386
28  56  Ni  8642.7811
29  56  Cu  8355.9907
30  56  Zn  8106#
31  56  Ga  7707#
19  57  K   7563#
20  57  Ca  7912#
21  57  Sc  8158.1666
22  57  Ti  8372.9008
23  57  V   8535.1967
24  57  Cr  8663.3998
25  57  Mn  8736.7146
26  57  Fe  8770.2829
27  57  Co  8741.8845
28  57  Ni  8670.9364
29  57  Cu  8503.2646
30  57  Zn  8231#
31  57  Ga  7916#
19  58  K   7437#
20  58  Ca  7828#
21  58  Sc  8054.9436
22  58  Ti  8307.629
23  58  V   8458.156
24  58  Cr  8643.9987
25  58  Mn  8696.6438
26  58  Fe  8792.2534
27  58  Co  8738.9719
28  58  Ni  8732.0621
29  58  Cu  8570.9696
30  58  Zn  8395.9467
31  58  Ga  8059#
32  58  Ge  7770#
19  59  K   7332#
20  59  Ca  7708#
21  59  Sc  7976.4073
22  59  Ti  8218#
23  59  V   8403.8034
24  59  Cr  8568.5995
25  59  Mn  8680.9224
26  59  Fe  8754.7746
27  59  Co  8768.0379
28  59  Ni  8736.5912
29  59  Cu  8642.0027
30  59  Zn  8473.7802
31  59  Ga  8232#
32  59  Ge  7924#
20  60  Ca  7627#
21  60  Sc  7873#
22  60  Ti  8152.7858
23  60  V   8322.8751
24  60  Cr  8540.1876
25  60  Mn  8628.1392
26  60  Fe  8755.8539
27  60  Co  8746.7692
28  60  Ni  8780.7769
29  60  Cu  8665.6047
30  60  Zn  8583.0524
31  60  Ga  8327#
32  60  Ge  8113#
33  60  As  7735#
20  61  Ca  7503#
21  61  Sc  7794#
22  61  Ti  8058#
23  61  V   8271.0417
24  61  Cr  8460.1734
25  61  Mn  8598.9157
26  61  Fe  8703.7686
27  61  Co  8756.151
28  61  Ni  8765.0281
29  61  Cu  8715.5148
30  61  Zn  8610.3098
31  61  Ga  8446.4313
32  61  Ge  8215#
33  61  As  7930#
21  62  Sc  7688#
22  62  Ti  7990#
23  62  V   8187.7565
24  62  Cr  8427.3871
25  62  Mn  8538.5002
26  62  Fe  8692.8831
27  62  Co  8721.3347
28  62  Ni  8794.5555
29  62  Cu  8718.0839
30  62  Zn  8679.3451
31  62  Ga  8518.6449
32  62  Ge  8347#
33  62  As  8049#
21  63  Sc  7603#
22  63  Ti  7891#
23  63  V   8130.7809
24  63  Cr  8347.5398
25  63  Mn  8505.102
26  63  Fe  8631.5499
27  63  Co  8717.7972
28  63  Ni  8763.4955
29  63  Cu  8752.1404
